Timestamp,title,genres
10/25/2021 11:21:46,How i met your mother,Comedy
10/25/2021 12:19:26,The Sopranos,"Comedy, Crime, Drama, Horror, Sci-Fi, Talk-Show, Thriller"
10/25/2021 13:34:34,Friday Night Lights,"Drama, Family, Sport"
10/25/2021 13:36:10,Family Guy,"Animation, Comedy"
10/25/2021 13:36:18,New Girl,Comedy
10/25/2021 13:36:22,Friends,Comedy
10/25/2021 13:36:23,Office,Comedy
10/25/2021 13:36:25,Breaking Bad,"Crime, Drama"
10/25/2021 13:36:28,Modern Family,Comedy
10/25/2021 13:36:34,Office,Comedy
10/25/2021 13:36:35,White Collar,"Action, Crime, Drama"
10/25/2021 13:36:36,Modern Family,"Comedy, Family"
10/25/2021 13:36:36,Game of Thrones,"Action, Adventure, Drama, Fantasy, Thriller, War"
10/25/2021 13:36:36,the Untamed,"Action, Drama, Fantasy, History, Romance"
10/25/2021 13:36:36,The 100,"Action, Sci-Fi"
10/25/2021 13:36:37,Modern Family,"Comedy, Family"
10/25/2021 13:36:38,The Office,Comedy
10/25/2021 13:36:38,New Girl,Comedy
10/25/2021 13:36:39,The Office,Comedy
10/25/2021 13:36:40,Avatar: The Last Airbender,"Adventure, Animation"
10/25/2021 13:36:40,Cobra Kai,"Action, Sport"
10/25/2021 13:36:40,Sherlock Homes,"Crime, Drama, Mystery"
10/25/2021 13:36:42,New Girl,Comedy
10/25/2021 13:36:45,arrow,"Action, Crime, Fantasy"
10/25/2021 13:36:46,Grace and Frankie,"Comedy, Romance"
10/25/2021 13:36:50,The Great British Baking Show,Game-Show
10/25/2021 13:36:51,The Mentalist,"Crime, Mystery"
10/25/2021 13:36:54,Brooklyn-99,"Action, Comedy, Crime"
10/25/2021 13:36:55,Avatar The Last Airbender ,"Action, Adventure, Animation, Comedy, Family, Fantasy"
10/25/2021 13:36:55,Parks and Rec,Comedy
10/25/2021 13:36:56,Archer,"Action, Animation, Comedy"
10/25/2021 13:36:56,Friends,Comedy
10/25/2021 13:36:56,The Simpsons,Comedy
10/25/2021 13:36:57,Avatar The Last Airbender,"Action, Animation, Crime"
10/25/2021 13:36:57,The Flash,"Action, Crime"
10/25/2021 13:36:59,Avatar the Last Airbender ,"Action, Animation, Fantasy"
10/25/2021 13:36:59,New Girl,Comedy
10/25/2021 13:36:59,Stranger Things,"Action, Adventure"
10/25/2021 13:37:00,Squid Game,"Action, Adventure, Drama, Thriller"
10/25/2021 13:37:02,Friends ,Comedy
10/25/2021 13:37:03,Community,Comedy
10/25/2021 13:37:03,Curb Your Enthusiasm,Comedy
10/25/2021 13:37:04,Hannah Montana ,"Comedy, Family"
10/25/2021 13:37:05,The Simpsons,Comedy
10/25/2021 13:37:06,The Good Place,Comedy
10/25/2021 13:37:06,Band of Brothers,"Action, Biography, Documentary, Drama, History, War"
10/25/2021 13:37:07,Jeopardy,Game-Show
10/25/2021 13:37:07,The Office,Comedy
10/25/2021 13:37:07,The Good Place,"Comedy, Fantasy"
10/25/2021 13:37:07,Violet Evergarden,"Animation, Drama"
10/25/2021 13:37:07,Avatar the Last Airbender,"Adventure, Comedy, Family"
10/25/2021 13:37:08,Game of Thrones,"Action, Adventure, Drama"
10/25/2021 13:37:08,Breaking Bad,"Action, Crime, Drama, Thriller"
10/25/2021 13:37:09,Criminal Minds,Crime
10/25/2021 13:37:09,Shark Tank,Family
10/25/2021 13:37:09,Star Trek: The Next Generation,Sci-Fi
10/25/2021 13:37:11,Squid Game,"Action, Horror, Thriller"
10/25/2021 13:37:11,White Collar,"Crime, Drama"
10/25/2021 13:37:12,Parks and Recreation ,"Comedy, Documentary"
10/25/2021 13:37:13,Mad Men,Drama
10/25/2021 13:37:13,Friends,Comedy
10/25/2021 13:37:14,South Park,Comedy
10/25/2021 13:37:14,The Office ,Comedy
10/25/2021 13:37:14,Norsemen,"Adventure, Comedy, History"
10/25/2021 13:37:15,The West Wing,Drama
10/25/2021 13:37:15,Regular Show,Comedy
10/25/2021 13:37:16,Ted Lasso,Comedy
10/25/2021 13:37:17,The Wire,"Crime, Drama"
10/25/2021 13:37:17,Lost,"Action, Adventure, Fantasy, Sci-Fi"
10/25/2021 13:37:17,The Office,Comedy
10/25/2021 13:37:19,Breaking Bad,Action
10/25/2021 13:37:20,community,Comedy
10/25/2021 13:37:20,Queen’s Gambit,"Drama, Thriller"
10/25/2021 13:37:21,Community,Comedy
10/25/2021 13:37:21,Friends,Comedy
10/25/2021 13:37:21,How I Met Your Mother,Comedy
10/25/2021 13:37:22,Six Flying Dragons,"Action, Drama, History"
10/25/2021 13:37:22,Gilmore Girls,"Family, Horror, Romance"
10/25/2021 13:37:22,Reba,Comedy
10/25/2021 13:37:23,friends,Comedy
10/25/2021 13:37:23,Evacuate Earth,Sci-Fi
10/25/2021 13:37:23,Friends,Comedy
10/25/2021 13:37:23,The Flash,Sci-Fi
10/25/2021 13:37:24,The Office,"Animation, Comedy, Sci-Fi"
10/25/2021 13:37:25,Supernatural ,"Action, Drama, Fantasy, Horror, Mystery"
10/25/2021 13:37:25,Peaky Blinders,"Action, Adventure, Crime, Drama, History"
10/25/2021 13:37:25,Game of Thrones,"Action, Adventure, Comedy, Drama, Family, Fantasy, History, Horror, Musical, Mystery, Romance, Thriller, War"
10/25/2021 13:37:25,Game of Thrones,"Action, Drama, Family, Fantasy, War"
10/25/2021 13:37:26,Community,Comedy
10/25/2021 13:37:26,Breaking Bad,Crime
10/25/2021 13:37:26,Community,Comedy
10/25/2021 13:37:27,The Office,"Comedy, Drama"
10/25/2021 13:37:28,The Good Place,"Adventure, Comedy, Drama"
10/25/2021 13:37:28,The Office,Comedy
10/25/2021 13:37:29,You,"Drama, Thriller"
10/25/2021 13:37:29,Community,Comedy
10/25/2021 13:37:30,Grey's Anatomy,Drama
10/25/2021 13:37:31,Breaking Bad,"Action, Comedy, Crime"
10/25/2021 13:37:32,The Crown,Comedy
10/25/2021 13:37:32,Arrested Development,Comedy
10/25/2021 13:37:32,Avatar: The Last Airbender,"Action, Adventure, Animation, Fantasy"
10/25/2021 13:37:33,Black Mirror,"Action, Adventure, Animation, Biography, Comedy, Crime, Documentary, Drama, Family, Fantasy, Game-Show, History, Horror, Music, Musical, Mystery, News, Reality-TV, Romance, Sci-Fi, Short, Sport, Talk-Show, Thriller, War, Western"
10/25/2021 13:37:33,Friends,Comedy
10/25/2021 13:37:33,Saturday Night Live,Comedy
10/25/2021 13:37:34,How I Met Your Mother,Comedy
10/25/2021 13:37:34,The Office,Comedy
10/25/2021 13:37:35,the bachelorette,"Reality-TV, Romance"
10/25/2021 13:37:35,The CROWN,Drama
10/25/2021 13:37:36,Law and order,"Crime, Drama, Mystery, Thriller"
10/25/2021 13:37:36,B99,Comedy
10/25/2021 13:37:38,GoT,Action
10/25/2021 13:37:37,Sherlock,Mystery
10/25/2021 13:37:39,WandaVision,"Action, Comedy, Drama, Thriller"
10/25/2021 13:37:40,Stranger Things,"Action, Adventure, Sci-Fi"
10/25/2021 13:37:40,The Good Place,"Comedy, Family, Fantasy"
10/25/2021 13:37:41,adventure time,"Adventure, Drama, Romance"
10/25/2021 13:37:41,Parks and Rec,Comedy
10/25/2021 13:37:41,squid game,"Action, Drama, Game-Show, Horror, Mystery, Thriller"
10/25/2021 13:37:42,Yellowstone,Western
10/25/2021 13:37:42,Brooklyn 99,"Comedy, Crime"
10/25/2021 13:37:42,criminal minds,Crime
10/25/2021 13:37:42,The Haunting of Hill House,Horror
10/25/2021 13:37:44,Avatar,"Action, Animation, Fantasy"
10/25/2021 13:37:44,the office,Comedy
10/25/2021 13:37:45,The Office,Comedy
10/25/2021 13:37:46,Game Of Thrones,Thriller
10/25/2021 13:37:46,The Originals,Drama
10/25/2021 13:37:52,family guy,Comedy
10/25/2021 13:37:52,Last Week Tonight with John Oliver,"Comedy, News, Talk-Show"
10/25/2021 13:37:55,Community,Comedy
10/25/2021 13:37:57,WandaVision,"Action, Fantasy, Sci-Fi"
10/25/2021 13:37:58,billions,"Comedy, Drama"
10/25/2021 13:37:58,ThE OffiCE,Comedy
10/25/2021 13:38:01,Friends,"Comedy, Family"
10/25/2021 13:38:01,The Office,Documentary
10/25/2021 13:38:01,Top Gear,"Action, Adventure, Comedy, Documentary, Family"
10/25/2021 13:38:02,Six Flying Dragons,"Action, Drama, History"
10/25/2021 13:38:02,New Amsterdam,Drama
10/25/2021 13:38:04,Game of Thrones,"Fantasy, Thriller, War"
10/25/2021 13:38:06,Blue Mountain State,"Action, Comedy, Sport"
10/25/2021 13:38:09,Community,"Action, Adventure, Animation, Comedy, Crime, Documentary, Drama, Family, Fantasy, Game-Show, History, Horror, Music, Musical, Mystery, News, Romance, Sci-Fi, Sport, Talk-Show, Thriller, War, Western"
10/25/2021 13:38:10,Its Always Sunny in Philidelphia,"Comedy, Drama"
10/25/2021 13:38:13,Thevoffice,Comedy
10/25/2021 13:38:13,Atlanta,Drama
10/25/2021 13:38:17,Good Omens,"Comedy, Drama, Fantasy, Sci-Fi"
10/25/2021 13:38:17,The Big Bang Theory,Comedy
10/25/2021 13:38:25,Grey's anatomy ,Drama
10/25/2021 13:38:32,Gilmore girls,"Comedy, Drama"
10/25/2021 13:38:35,Avatar: The Last Airbender,"Action, Animation"
10/25/2021 13:38:35,Avatar the Last Airbender,"Adventure, Comedy, Drama, Family, Fantasy"
10/25/2021 13:38:36,Hunter X Hunter,"Action, Adventure, Animation"
10/25/2021 13:38:37,brooklyn 99,"Comedy, Crime"
10/25/2021 13:38:40,sherlock holmes ,"Crime, Drama, Mystery"
10/25/2021 13:38:41,Anne With An E,Drama
10/25/2021 13:39:25,Money Heist,"Action, Adventure, Crime, Horror, Mystery, Sci-Fi, Thriller, War"
10/25/2021 13:39:25,Succession,Drama
10/25/2021 13:39:38,Silicon Valley,Comedy
